"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
21,2,"10","53","43",8,0,NA,NA,NA,NA,NA,0
21,2,"10","43","53",56,1,0,0,25,0,31,0
21,2,"10","67","53",-34,0,NA,NA,NA,NA,NA,0
21,2,"10","53","68",-4,0,NA,NA,NA,NA,NA,0
21,2,"10","53","43",-14,0,NA,NA,NA,NA,NA,0
21,2,"10","67","53",29,1,0,0,21,0,8,0
21,2,"10","53","68",-6,0,NA,NA,NA,NA,NA,0
21,2,"10","43","53",-9,0,NA,NA,NA,NA,NA,0
21,2,"10","53","43",43,1,0,0,43,0,0,0
21,2,"10","43","53",14,0,NA,NA,NA,NA,NA,0
26,7,"10","28","53",-21,0,NA,NA,NA,NA,NA,0
26,7,"10","53","28",-31,0,NA,NA,NA,NA,NA,0
26,7,"10","28","53",-18,0,NA,NA,NA,NA,NA,0
26,7,"10","28","53",-11,0,NA,NA,NA,NA,NA,0
26,7,"10","53","68",7,0,NA,NA,NA,NA,NA,0
26,7,"10","14","68",38,1,0,0,38,0,0,0
26,7,"10","53","28",8,0,NA,NA,NA,NA,NA,0
26,7,"10","80","68",47,1,0,0,47,0,0,0
26,7,"10","67","53",87,1,3,0,9,0,75,0
26,7,"10","28","53",-21,0,NA,NA,NA,NA,NA,0
26,7,"10","53","68",37,1,0,0,5,0,32,0
26,7,"10","53","28",134,1,134,0,0,0,0,0
26,7,"10","14","68",40,1,30,0,10,0,0,0
26,7,"10","28","53",-13,0,NA,NA,NA,NA,NA,0
26,7,"10","67","3",54,1,0,0,33,0,21,0
26,7,"10","53","68",-28,0,NA,NA,NA,NA,NA,0
26,7,"10","67","14",27,1,15,0,12,0,0,0
22,3,"10","43","53",-28,0,NA,NA,NA,NA,NA,0
22,3,"10","43","53",30,1,0,0,30,0,0,0
22,3,"10","53","43",-38,0,NA,NA,NA,NA,NA,0
22,3,"10","67","81",19,1,8,0,8,0,3,0
22,3,"10","28","53",-13,0,NA,NA,NA,NA,NA,0
21,2,"10","67","53",-14,0,NA,NA,NA,NA,NA,0
21,2,"10","67","3",-17,0,NA,NA,NA,NA,NA,0
21,2,"10","28","53",-6,0,NA,NA,NA,NA,NA,0
21,2,"10","53","28",1,0,NA,NA,NA,NA,NA,0
21,2,"10","53","68",-2,0,NA,NA,NA,NA,NA,0
21,2,"10","28","53",-3,0,NA,NA,NA,NA,NA,0
21,2,"10","53","28",15,1,0,0,15,0,0,0
21,2,"10","28","53",35,1,0,0,35,0,0,0
21,2,"10","53","68",-10,0,NA,NA,NA,NA,NA,0
21,2,"10","43","53",-16,0,NA,NA,NA,NA,NA,0
21,2,"10","14","68",-15,0,NA,NA,NA,NA,NA,0
21,2,"10","53","28",167,1,10,0,0,0,157,0
21,2,"10","67","53",4,0,NA,NA,NA,NA,NA,0
21,2,"10","80","68",35,1,0,0,6,0,29,0
21,2,"10","53","68",46,1,0,0,46,0,0,0
21,2,"10","67","53",43,1,0,0,43,0,0,0
21,2,"10","28","53",5,0,NA,NA,NA,NA,NA,0
21,2,"10","53","68",91,1,11,0,0,0,80,0
21,2,"10","53","28",14,0,NA,NA,NA,NA,NA,0
21,2,"10","14","68",-6,0,NA,NA,NA,NA,NA,0
21,2,"10","28","53",11,0,NA,NA,NA,NA,NA,0
21,2,"10","67","3",75,1,15,0,0,0,60,0
21,2,"10","53","68",-37,0,NA,NA,NA,NA,NA,0
21,2,"10","53","68",-18,0,NA,NA,NA,NA,NA,0
21,2,"10","67","14",-12,0,NA,NA,NA,NA,NA,0
21,2,"10","53","43",-18,0,NA,NA,NA,NA,NA,0
21,2,"10","67","53",1,0,NA,NA,NA,NA,NA,0
21,2,"10","67","81",18,1,4,0,0,0,14,0
21,2,"10","67","53",-8,0,NA,NA,NA,NA,NA,0
21,2,"10","3","68",-3,0,NA,NA,NA,NA,NA,0
21,2,"10","53","68",-8,0,NA,NA,NA,NA,NA,0
21,2,"10","67","53",10,0,NA,NA,NA,NA,NA,0
21,2,"10","67","53",-28,0,NA,NA,NA,NA,NA,0
21,2,"10","53","28",41,1,0,0,41,0,0,0
21,2,"10","53","28",-8,0,NA,NA,NA,NA,NA,0
21,2,"10","53","68",-17,0,NA,NA,NA,NA,NA,0
21,2,"10","53","68",178,1,21,0,0,0,157,0
21,2,"10","80","68",-12,0,NA,NA,NA,NA,NA,0
21,2,"10","67","53",12,0,NA,NA,NA,NA,NA,0
21,2,"10","67","14",-2,0,NA,NA,NA,NA,NA,0
21,2,"10","3","68",-18,0,NA,NA,NA,NA,NA,0
20,1,"10","53","68",-16,0,NA,NA,NA,NA,NA,0
20,1,"10","43","53",4,0,NA,NA,NA,NA,NA,0
20,1,"10","53","43",-35,0,NA,NA,NA,NA,NA,0
20,1,"10","43","53",-3,0,NA,NA,NA,NA,NA,0
20,1,"10","53","68",95,1,0,0,0,0,95,0
30,4,"10","67","14",-11,0,NA,NA,NA,NA,NA,0
30,4,"10","53","43",-12,0,NA,NA,NA,NA,NA,0
30,4,"10","67","53",-15,0,NA,NA,NA,NA,NA,0
30,4,"10","67","81",-16,0,NA,NA,NA,NA,NA,0
30,4,"10","67","53",-5,0,NA,NA,NA,NA,NA,0
30,4,"10","3","68",-9,0,NA,NA,NA,NA,NA,0
30,4,"10","53","68",-18,0,NA,NA,NA,NA,NA,0
30,4,"10","67","53",-13,0,NA,NA,NA,NA,NA,0
30,4,"10","67","53",7,0,NA,NA,NA,NA,NA,0
30,4,"10","53","28",-31,0,NA,NA,NA,NA,NA,0
30,4,"10","53","28",2,0,NA,NA,NA,NA,NA,0
30,4,"10","53","68",-27,0,NA,NA,NA,NA,NA,0
30,4,"10","53","68",-5,0,NA,NA,NA,NA,NA,0
30,4,"10","80","68",-25,0,NA,NA,NA,NA,NA,0
30,4,"10","67","53",19,1,19,0,0,0,0,0
30,4,"10","67","14",9,0,NA,NA,NA,NA,NA,0
30,4,"10","3","68",-27,0,NA,NA,NA,NA,NA,0
