"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
10,5,"EV","DTW","ROC",-4,0,NA,NA,NA,NA,NA,0
20,1,"EV","DTW","ROC",-20,0,NA,NA,NA,NA,NA,0
29,3,"EV","DTW","ROC",-8,0,NA,NA,NA,NA,NA,0
19,7,"EV","DTW","ROC",-13,0,NA,NA,NA,NA,NA,0
14,2,"EV","DTW","ROC",-17,0,NA,NA,NA,NA,NA,0
17,5,"EV","DTW","ROC",-14,0,NA,NA,NA,NA,NA,0
22,3,"EV","DTW","ROC",-18,0,NA,NA,NA,NA,NA,0
30,4,"EV","DTW","ROC",-18,0,NA,NA,NA,NA,NA,0
24,5,"EV","DTW","ROC",-12,0,NA,NA,NA,NA,NA,0
21,2,"EV","DTW","ROC",-4,0,NA,NA,NA,NA,NA,0
28,2,"EV","DTW","ROC",30,1,30,0,0,0,0,0
26,7,"EV","DTW","ROC",27,1,27,0,0,0,0,0
27,1,"EV","DTW","ROC",-8,0,NA,NA,NA,NA,NA,0
12,7,"EV","DTW","ROC",-20,0,NA,NA,NA,NA,NA,0
13,1,"EV","DTW","ROC",-7,0,NA,NA,NA,NA,NA,0
15,3,"EV","DTW","ROC",-20,0,NA,NA,NA,NA,NA,0
16,4,"EV","ROC","DTW",8,0,NA,NA,NA,NA,NA,0
23,4,"EV","ROC","DTW",35,1,0,0,8,0,27,0
15,3,"EV","ROC","DTW",-19,0,NA,NA,NA,NA,NA,0
10,5,"EV","ROC","DTW",-22,0,NA,NA,NA,NA,NA,0
9,4,"EV","ROC","DTW",-16,0,NA,NA,NA,NA,NA,0
21,2,"EV","ROC","DTW",-19,0,NA,NA,NA,NA,NA,0
11,6,"EV","ROC","DTW",-17,0,NA,NA,NA,NA,NA,0
20,1,"EV","ROC","DTW",-30,0,NA,NA,NA,NA,NA,0
22,3,"EV","ROC","DTW",-26,0,NA,NA,NA,NA,NA,0
27,1,"EV","ROC","DTW",-25,0,NA,NA,NA,NA,NA,0
30,4,"EV","ROC","DTW",-29,0,NA,NA,NA,NA,NA,0
29,3,"EV","ROC","DTW",-22,0,NA,NA,NA,NA,NA,0
25,6,"EV","ROC","DTW",-22,0,NA,NA,NA,NA,NA,0
19,7,"EV","ROC","DTW",-23,0,NA,NA,NA,NA,NA,0
14,2,"EV","ROC","DTW",-22,0,NA,NA,NA,NA,NA,0
17,5,"EV","ROC","DTW",-12,0,NA,NA,NA,NA,NA,0
24,5,"EV","ROC","DTW",-29,0,NA,NA,NA,NA,NA,0
26,7,"EV","ROC","DTW",25,1,0,0,10,0,15,0
28,2,"EV","ROC","DTW",33,1,3,0,3,0,27,0
13,1,"EV","ROC","DTW",-19,0,NA,NA,NA,NA,NA,0
